steady_state,frequency
"[ 1.  1. -1.  1. -1. -1. -1.  1.  1.  1. -1.  1.  1. -1.  1.  1. -1. -1.
  1. -1.]","[163, 192, 3, 144, 75, 12, 4, 75, 125, 4, 4, 5, 1, 4, 9, 4, 8, 4, 5, 2, 9, 5, 2, 2, 8, 11, 4, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 1]"
"[-1. -1.  1. -1.  1.  1.  1. -1. -1. -1.  1. -1. -1.  1. -1. -1.  1.  1.
 -1.  1.]","[163, 192, 3, 144, 75, 12, 4, 75, 125, 4, 4, 5, 1, 4, 9, 4, 8, 4, 5, 2, 9, 5, 2, 2, 8, 11, 4, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 1]"
"[ 1.  1. -1. -1. -1. -1. -1.  1.  1.  1. -1.  1.  1.  1.  1. -1. -1. -1.
  1. -1.]","[163, 192, 3, 144, 75, 12, 4, 75, 125, 4, 4, 5, 1, 4, 9, 4, 8, 4, 5, 2, 9, 5, 2, 2, 8, 11, 4, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 1]"
"[-1.  1. -1. -1. -1. -1. -1.  1.  1.  1. -1.  1.  1.  1.  1.  1. -1. -1.
  1. -1.]","[163, 192, 3, 144, 75, 12, 4, 75, 125, 4, 4, 5, 1, 4, 9, 4, 8, 4, 5, 2, 9, 5, 2, 2, 8, 11, 4, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 1]"
"[ 1.  1. -1.  1. -1.  1. -1.  1.  1.  1. -1.  1.  1. -1.  1.  1. -1. -1.
  1. -1.]","[163, 192, 3, 144, 75, 12, 4, 75, 125, 4, 4, 5, 1, 4, 9, 4, 8, 4, 5, 2, 9, 5, 2, 2, 8, 11, 4, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 1]"
"[-1. -1.  1.  1.  1.  1.  1. -1. -1. -1.  1. -1. -1. -1. -1.  1.  1.  1.
 -1.  1.]","[163, 192, 3, 144, 75, 12, 4, 75, 125, 4, 4, 5, 1, 4, 9, 4, 8, 4, 5, 2, 9, 5, 2, 2, 8, 11, 4, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 1]"
"[-1. -1.  1.  1. -1. -1.  1. -1. -1. -1.  1. -1. -1. -1. -1.  1.  1.  1.
  1. -1.]","[163, 192, 3, 144, 75, 12, 4, 75, 125, 4, 4, 5, 1, 4, 9, 4, 8, 4, 5, 2, 9, 5, 2, 2, 8, 11, 4, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 1]"
"[ 1.  1. -1. -1. -1.  1. -1.  1.  1.  1. -1.  1.  1. -1.  1.  1. -1. -1.
  1. -1.]","[163, 192, 3, 144, 75, 12, 4, 75, 125, 4, 4, 5, 1, 4, 9, 4, 8, 4, 5, 2, 9, 5, 2, 2, 8, 11, 4, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 1]"
"[ 1.  1. -1. -1.  1.  1. -1.  1.  1.  1. -1.  1.  1.  1.  1.  1. -1. -1.
 -1.  1.]","[163, 192, 3, 144, 75, 12, 4, 75, 125, 4, 4, 5, 1, 4, 9, 4, 8, 4, 5, 2, 9, 5, 2, 2, 8, 11, 4, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 1]"
"[-1. -1.  1. -1.  1. -1.  1. -1. -1. -1.  1. -1. -1.  1. -1. -1.  1.  1.
 -1.  1.]","[163, 192, 3, 144, 75, 12, 4, 75, 125, 4, 4, 5, 1, 4, 9, 4, 8, 4, 5, 2, 9, 5, 2, 2, 8, 11, 4, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 1]"
"[-1.  1. -1. -1. -1. -1. -1.  1.  1.  1. -1.  1.  1.  1.  1. -1. -1. -1.
  1. -1.]","[163, 192, 3, 144, 75, 12, 4, 75, 125, 4, 4, 5, 1, 4, 9, 4, 8, 4, 5, 2, 9, 5, 2, 2, 8, 11, 4, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 1]"
"[ 1.  1.  1. -1. -1. -1. -1.  1.  1.  1. -1.  1.  1.  1.  1.  1. -1. -1.
  1. -1.]","[163, 192, 3, 144, 75, 12, 4, 75, 125, 4, 4, 5, 1, 4, 9, 4, 8, 4, 5, 2, 9, 5, 2, 2, 8, 11, 4, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 1]"
"[ 1.  1. -1. -1.  1. -1. -1.  1.  1.  1. -1.  1.  1.  1.  1. -1. -1. -1.
 -1.  1.]","[163, 192, 3, 144, 75, 12, 4, 75, 125, 4, 4, 5, 1, 4, 9, 4, 8, 4, 5, 2, 9, 5, 2, 2, 8, 11, 4, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 1]"
"[-1. -1.  1.  1. -1. -1.  1. -1. -1. -1.  1. -1. -1. -1. -1. -1.  1.  1.
  1. -1.]","[163, 192, 3, 144, 75, 12, 4, 75, 125, 4, 4, 5, 1, 4, 9, 4, 8, 4, 5, 2, 9, 5, 2, 2, 8, 11, 4, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 1]"
"[ 1.  1.  1. -1. -1. -1. -1.  1.  1.  1. -1.  1.  1.  1.  1. -1. -1. -1.
  1. -1.]","[163, 192, 3, 144, 75, 12, 4, 75, 125, 4, 4, 5, 1, 4, 9, 4, 8, 4, 5, 2, 9, 5, 2, 2, 8, 11, 4, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 1]"
"[-1.  1. -1. -1. -1.  1. -1.  1.  1.  1. -1.  1.  1.  1.  1.  1. -1. -1.
  1. -1.]","[163, 192, 3, 144, 75, 12, 4, 75, 125, 4, 4, 5, 1, 4, 9, 4, 8, 4, 5, 2, 9, 5, 2, 2, 8, 11, 4, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 1]"
"[-1. -1.  1.  1. -1.  1.  1. -1. -1. -1.  1. -1. -1. -1. -1.  1.  1.  1.
  1. -1.]","[163, 192, 3, 144, 75, 12, 4, 75, 125, 4, 4, 5, 1, 4, 9, 4, 8, 4, 5, 2, 9, 5, 2, 2, 8, 11, 4, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 1]"
"[ 1.  1. -1. -1. -1.  1. -1.  1.  1.  1. -1.  1.  1.  1.  1.  1. -1. -1.
  1. -1.]","[163, 192, 3, 144, 75, 12, 4, 75, 125, 4, 4, 5, 1, 4, 9, 4, 8, 4, 5, 2, 9, 5, 2, 2, 8, 11, 4, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 1]"
"[-1. -1. -1.  1.  1.  1.  1. -1. -1. -1.  1. -1. -1. -1. -1. -1.  1.  1.
 -1.  1.]","[163, 192, 3, 144, 75, 12, 4, 75, 125, 4, 4, 5, 1, 4, 9, 4, 8, 4, 5, 2, 9, 5, 2, 2, 8, 11, 4, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 1]"
"[ 1.  1.  1. -1. -1.  1. -1.  1.  1.  1. -1.  1.  1.  1.  1.  1. -1. -1.
  1. -1.]","[163, 192, 3, 144, 75, 12, 4, 75, 125, 4, 4, 5, 1, 4, 9, 4, 8, 4, 5, 2, 9, 5, 2, 2, 8, 11, 4, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 1]"
"[-1. -1. -1.  1.  1.  1.  1. -1. -1. -1.  1. -1. -1. -1. -1.  1.  1.  1.
 -1.  1.]","[163, 192, 3, 144, 75, 12, 4, 75, 125, 4, 4, 5, 1, 4, 9, 4, 8, 4, 5, 2, 9, 5, 2, 2, 8, 11, 4, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 1]"
"[-1. -1.  1.  1.  1.  1.  1. -1. -1. -1.  1. -1. -1.  1. -1.  1.  1.  1.
 -1.  1.]","[163, 192, 3, 144, 75, 12, 4, 75, 125, 4, 4, 5, 1, 4, 9, 4, 8, 4, 5, 2, 9, 5, 2, 2, 8, 11, 4, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 1]"
"[-1. -1.  1.  1.  1. -1.  1. -1. -1. -1.  1. -1. -1.  1. -1. -1.  1.  1.
 -1.  1.]","[163, 192, 3, 144, 75, 12, 4, 75, 125, 4, 4, 5, 1, 4, 9, 4, 8, 4, 5, 2, 9, 5, 2, 2, 8, 11, 4, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 1]"
"[ 1.  1. -1. -1. -1. -1. -1.  1.  1.  1. -1.  1.  1.  1.  1.  1. -1. -1.
  1. -1.]","[163, 192, 3, 144, 75, 12, 4, 75, 125, 4, 4, 5, 1, 4, 9, 4, 8, 4, 5, 2, 9, 5, 2, 2, 8, 11, 4, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 1]"
